"Year","Newspaper","Art_form","Artist_origin","Artist_time","Format","Aesthetic","Commercial","Political"
"1960","ABC/EP","Literature","Domestic","Pre WW2","Live","No","No","No"
"1960","ABC/EP","Literature","Domestic","Present","Live","Yes","No","No"
"1960","ABC/EP","Theatre","Domestic","Present","Live","Yes","No","No"
"1960","ABC/EP","Classical music","Other","Historical","Live","Yes","No","No"
"1960","ABC/EP","Literature","Domestic","Present","Recording","No","No","Yes"
"1960","ABC/EP","Theatre","Domestic","Historical","Recording","Yes","No","Yes"
"1960","ABC/EP","Fine arts","Domestic","Historical","Recording","Yes","No","Yes"
"1960","ABC/EP","Fine arts","Domestic","Pre WW2","Live","Yes","No","No"
"1960","ABC/EP","Literature","Domestic","Pre WW2","Recording","Yes","No","No"
"1960","ABC/EP","Literature","Other","Historical","Recording","Yes","No","No"
"1960","ABC/EP","Other","Other","Present","Live","Yes","No","No"
"1960","ABC/EP","Other","Domestic","Present","Live","Yes","No","No"
"1960","ABC/EP","Fine arts","Other Europe","Present","Live","Yes","No","No"
"1960","ABC/EP","Theatre","Domestic","Present","Live","Yes","No","No"
"1960","ABC/EP","Film","Other Europe","Present","Recording","Yes","No","No"
"1960","ABC/EP","Classical music","Other","Historical","Live","Yes","No","No"
"1960","ABC/EP","Other","Domestic","Present","Recording","Yes","No","No"
"1960","ABC/EP","Theatre","Other Europe","Pre WW2","Live","Yes","No","No"
"1960","ABC/EP","Film","Domestic","Present","Live","No","Yes","No"
"1960","ABC/EP","Classical music","Other Europe","Pre WW2","Live","Yes","No","No"
"1960","ABC/EP","Classical music","Other Europe","Historical","Live","No","No","No"
"1960","ABC/EP","Classical music","Other","Pre WW2","Live","No","No","No"
"1960","ABC/EP","Film","Other","Post WW2","Recording","Yes","No","No"
"1960","ABC/EP","Film","USA","Present","Recording","Yes","No","No"
"1960","ABC/EP","Film","Other Europe","Present","Recording","Yes","No","No"
"1960","ABC/EP","Film","Other","Present","Recording","Yes","No","No"
"1960","ABC/EP","Literature","Other","Pre WW2","Recording","Yes","No","No"
"1960","ABC/EP","Theatre","Domestic","Pre WW2","Live","Yes","No","No"
"1960","ABC/EP","Theatre","USA","Pre WW2","Live","Yes","No","No"
"1960","ABC/EP","Theatre","Other Europe","Present","Live","Yes","No","No"
"1960","ABC/EP","Film","Other Europe","Present","Recording","Yes","No","No"
"1970","ABC/EP","Literature","Domestic","Present","Live","No","Yes","No"
"1970","ABC/EP","Literature","Domestic","Present","Recording","Yes","No","No"
"1970","ABC/EP","Literature","Domestic","Present","Recording","Yes","No","No"
"1970","ABC/EP","Literature","Domestic","Present","Recording","Yes","No","No"
"1970","ABC/EP","Literature","Domestic","Present","Recording","Yes","No","No"
"1970","ABC/EP","Popular music","Other","Present","Recording","Yes","No","No"
"1970","ABC/EP","Classical music","Other","Pre WW2","Live","Yes","No","No"
"1970","ABC/EP","Other","Other","Present","Live","No","No","No"
"1970","ABC/EP","Theatre","Other","Present","Live","Yes","No","No"
"1970","ABC/EP","Theatre","Other Europe","Present","Live","Yes","No","Yes"
"1970","ABC/EP","Theatre","Other Europe","Historical","Live","Yes","No","No"
"1970","ABC/EP","Film","Other Europe","Present","Recording","Yes","No","No"
"1970","ABC/EP","Film","Other Europe","Present","Recording","Yes","No","No"
"1970","ABC/EP","Film","Other","Present","Recording","Yes","No","No"
"1970","ABC/EP","Literature","Domestic","Present","Recording","Yes","No","No"
"1970","ABC/EP","Literature","Other Europe","Present","Recording","Yes","No","No"
"1970","ABC/EP","Literature","Domestic","Present","Recording","Yes","No","No"
"1970","ABC/EP","Literature","Domestic","Post WW2","Live","Yes","No","No"
"1970","ABC/EP","Fine arts","Other","Historical","Live","Yes","No","No"
"1970","ABC/EP","Fine arts","Domestic","Present","Live","Yes","No","No"
